"","Sample","Target","1","2","3","4","5","6"
"320","S1_31.4","lyta",43.8316244038288,NA,NA,NA,NA,NA
"321","S1_31.4","piab",45,NA,NA,NA,NA,NA
"322","S1_31.5","lyta",45,45,NA,NA,NA,NA
"323","S1_31.5","piab",45,NA,NA,NA,NA,NA
"324","S1_31.6","lyta",45,45,NA,NA,NA,NA
"325","S1_31.6","piab",45,NA,NA,NA,NA,NA
"326","S1_32.1","lyta",45,45,NA,NA,NA,NA
"327","S1_32.1","piab",45,NA,NA,NA,NA,NA
"328","S1_32.2","lyta",45,45,NA,NA,NA,NA
"329","S1_32.2","piab",45,NA,NA,NA,NA,NA
"330","S1_32.3","lyta",45,45,NA,NA,NA,NA
"331","S1_32.3","piab",45,45,NA,NA,NA,NA
"332","S1_32.4","lyta",45,45,NA,NA,NA,NA
"333","S1_32.4","piab",45,NA,NA,NA,NA,NA
"334","S1_32.5","lyta",45,45,NA,NA,NA,NA
"335","S1_32.5","piab",45,NA,NA,NA,NA,NA
"336","S1_32.6","lyta",45,45,NA,NA,NA,NA
"337","S1_32.6","piab",45,NA,NA,NA,NA,NA
"338","S1_33.1","lyta",30.6712254966198,NA,NA,NA,NA,NA
"339","S1_33.1","piab",30.06899687,30.1783386455946,NA,NA,NA,NA
"340","S1_33.2","lyta",28.9411367216727,NA,NA,NA,NA,NA
"341","S1_33.2","piab",29.48035409,29.3349386271749,NA,NA,NA,NA
"342","S1_33.3","lyta",27.1988854542884,NA,NA,NA,NA,NA
"343","S1_33.3","piab",45,27.2274650281319,NA,NA,NA,NA
"344","S1_33.4","lyta",21.9814716138855,23.3299411834145,NA,NA,NA,NA
"345","S1_33.4","piab",22.997667652866,NA,NA,NA,NA,NA
"346","S1_33.5","lyta",45,38.9580562474595,45,NA,NA,NA
"347","S1_33.5","piab",45,45,45,45,45,NA
"348","S1_33.6","lyta",33.5028061460122,NA,NA,NA,NA,NA
"349","S1_33.6","piab",29.28791587,30.793714843215,NA,NA,NA,NA
"350","S1_34.1","lyta",22.1469421203051,NA,NA,NA,NA,NA
"351","S1_34.1","piab",45,45,NA,NA,NA,NA
"352","S1_34.2","lyta",22.1343538455459,28.4653209644733,NA,NA,NA,NA
"353","S1_34.2","piab",45,38.4421703340177,45,45,NA,NA
"354","S1_34.3","lyta",22.9753480353861,NA,NA,NA,NA,NA
"355","S1_34.3","piab",45,45,45,NA,NA,NA
"356","S1_34.4","lyta",23.6153773230255,27.8591736275724,NA,NA,NA,NA
"357","S1_34.4","piab",40.26485333,38.8762774324284,36.0297805065493,38.1378227804491,NA,NA
"358","S1_34.5","lyta",25.7460587143805,NA,NA,NA,NA,NA
"359","S1_34.5","piab",45,45,45,NA,NA,NA
