,Sample,plate,lyta,piab,pos,,,,,,,,
271,54.5,10,45,45,FALSE,,,,,,,,
272,54.6,12,45,45,FALSE,,,,,,,,
273,55.1,2,45,45,FALSE,,,,,,,,
274,55.2,5,NA,45,FALSE,,,,,,,,
275,55.3,7,NA,45,FALSE,,,,,,,,
276,55.5,10,45,38.59944249,FALSE,,,,,,,,
277,55.6,12,45,45,FALSE,,,,,,,,
278,56.1,2,45,45,FALSE,,,,,,,,
279,56.2,5,NA,45,FALSE,,,,,,,,
280,56.3,7,NA,45,FALSE,,,,,,,,
281,56.5,10,45,45,FALSE,,,,,,,,
282,56.6,12,45,45,FALSE,,,,,,,,
283,57.1,3,45,45,FALSE,,,,,,,,
284,57.2,5,NA,45,FALSE,,,,,,,,
285,57.3,7,NA,45,FALSE,,,,,,,,
286,57.5,10,45,45,FALSE,,,,,,,,
287,57.6,12,45,45,FALSE,,,,,,,,
288,60.1,3,45,45,FALSE,,,,,,,,
289,60.2,5,NA,45,FALSE,,,,,,,,
290,60.3,7,NA,45,FALSE,,,,,,,,
291,60.5,10,31.37977979,45,FALSE,,,,,,,,
292,60.6,12,35.11024519,45,FALSE,,,,,,,,
293,61.1,2,24.22509692,45,FALSE,,,,,,,,
294,61.2,5,NA,45,FALSE,,,,,,,,
295,61.3,7,NA,45,FALSE,,,,,,,,
296,61.5,10,38.95986456,45,FALSE,,,,,,,,
297,61.6,12,36.3546902,45,FALSE,,,,,,,,
298,62.1,2,45,45,FALSE,,,,,,,,
299,62.3,7,NA,45,FALSE,,,,,,,,
300,62.5,10,35.12327474,33.27094807,TRUE,,,,,,,,
301,62.6,12,45,45,FALSE,,,,,,,,
302,63.1,3,45,45,FALSE,,,,,,,,
303,63.3,7,NA,45,FALSE,,,,,,,,
304,63.5,11,45,45,FALSE,,,,,,,,
305,63.6,12,32.62284048,30.99902876,TRUE,,,,,,,,
306,64.1,2,21.59748694,45,FALSE,,,,,,,,
307,64.2,5,NA,45,FALSE,,,,,,,,
308,64.3,7,NA,45,FALSE,,,,,,,,
309,64.5,11,23.64903366,45,FALSE,,,,,,,,
310,65.1,2,45,45,FALSE,,,,,,,,
311,65.2,5,NA,45,FALSE,,,,,,,,
312,65.3,7,NA,36.95699419,NA,,,,,,,,
313,65.4,9,45,45,FALSE,,,,,,,,
314,65.5,11,45,45,FALSE,,,,,,,,
315,66.1,2,45,45,FALSE,,,,,,,,
316,66.2,5,NA,45,FALSE,,,,,,,,
317,66.3,7,NA,45,FALSE,,,,,,,,
318,66.4,9,45,45,FALSE,,,,,,,,
319,66.5,11,45,45,FALSE,,,,,,,,
320,67.1,2,45,45,FALSE,,,,,,,,
321,67.2,5,NA,45,FALSE,,,,,,,,
322,67.3,7,NA,45,FALSE,,,,,,,,
323,67.4,9,45,45,FALSE,,,,,,,,
324,67.5,11,45,45,FALSE,,,,,,,,
325,68.1,2,45,45,FALSE,,,,,,,,
326,68.2,5,NA,45,FALSE,,,,,,,,
327,68.3,7,NA,45,FALSE,,,,,,,,
328,68.4,9,45,45,FALSE,,,,,,,,
329,68.5,11,45,45,FALSE,,,,,,,,
330,69.1,2,45,45,FALSE,,,,,,,,
331,69.2,5,NA,45,FALSE,,,,,,,,
332,69.3,7,NA,45,FALSE,,,,,,,,
333,69.4,9,45,45,FALSE,,,,,,,,
334,69.5,11,45,45,FALSE,,,,,,,,
335,70.1,2,45,45,FALSE,,,,,,,,
336,70.2,5,NA,45,FALSE,,,,,,,,
