"","Sample","variable","lyta","piab","pos"
"297","S1_55.5","Cq",37.4178075997033,38.9183818612371,TRUE
"298","S1_55.6","Cq",45,45,FALSE
"299","S1_56.1","Cq",45,45,FALSE
"300","S1_56.2","Cq",45,45,FALSE
"301","S1_56.3","Cq",45,45,FALSE
"302","S1_56.4","Cq",45,45,FALSE
"303","S1_56.5","Cq",38.30950123,45,FALSE
"304","S1_56.6","Cq",45,45,FALSE
"305","S1_57.1","Cq",37.00051391,45,FALSE
"306","S1_57.2","Cq",45,45,FALSE
"307","S1_57.3","Cq",38.7474558815533,45,FALSE
"308","S1_57.4","Cq",45,45,FALSE
"309","S1_57.5","Cq",45,45,FALSE
"310","S1_57.6","Cq",45,45,FALSE
"311","S1_6.2","Cq",29.3851734014072,45,FALSE
"312","S1_6.3","Cq",29.5935058718457,45,FALSE
"313","S1_6.4","Cq",24.1040784544396,45,FALSE
"314","S1_6.5","Cq",22.045583140502,45,FALSE
"315","S1_6.6","Cq",25.2134754717604,45,FALSE
"316","S1_60.1","Cq",45,45,FALSE
"317","S1_60.2","Cq",31.89237611,37.26573985,TRUE
"318","S1_60.3","Cq",31.0302567028728,45,FALSE
"319","S1_60.4","Cq",36.4159608332748,45,FALSE
"320","S1_60.5","Cq",31.7776620529965,45,FALSE
"321","S1_60.6","Cq",38.499271860713,45,FALSE
"322","S1_61.1","Cq",24.458202823538,45,FALSE
"323","S1_61.2","Cq",29.12968156,45,FALSE
"324","S1_61.3","Cq",35.1792508006858,45,FALSE
"325","S1_61.4","Cq",45,45,FALSE
"326","S1_61.5","Cq",39.7104664885872,45,FALSE
"327","S1_61.6","Cq",45,45,FALSE
"328","S1_62.1","Cq",45,45,FALSE
"329","S1_62.3","Cq",45,45,FALSE
"330","S1_62.4","Cq",45,45,FALSE
"331","S1_62.5","Cq",35.3079575506079,33.5454960069469,TRUE
"332","S1_62.6","Cq",45,45,FALSE
"333","S1_63.1","Cq",45,45,FALSE
"334","S1_63.3","Cq",45,45,FALSE
"335","S1_63.4","Cq",45,45,FALSE
"336","S1_63.5","Cq",45,45,FALSE
"337","S1_63.6","Cq",34.0662002544823,31.787472988212,TRUE
"338","S1_64.1","Cq",21.9993369849721,45,FALSE
"339","S1_64.2","Cq",28.24154219,45,FALSE
"340","S1_64.3","Cq",23.6683502575944,45,FALSE
"341","S1_64.4","Cq",25.0895815323971,45,FALSE
"342","S1_64.5","Cq",24.5710044785636,45,FALSE
"343","S1_64.6","Cq",29.0491929700786,45,FALSE
"344","S1_65.1","Cq",45,45,FALSE
"345","S1_65.2","Cq",45,45,FALSE
"346","S1_65.3","Cq",45,37.5201344967835,FALSE
