"","Sample","plate","variable","lyta","piab","pos"
"245",27.4,14,"Cq",45,9999,FALSE
"246",27.5,16,"Cq",45,45,FALSE
"247",27.6,18,"Cq",45,45,FALSE
"248",28.1,1,"Cq",22.1766692607417,45,FALSE
"249",28.2,4,"Cq",9999,45,FALSE
"250",28.2,5,"Cq",26.3403484881413,9999,FALSE
"251",28.3,10,"Cq",9999,45,FALSE
"252",28.3,11,"Cq",22.08039861251,9999,FALSE
"253",28.4,13,"Cq",9999,45,FALSE
"254",28.4,14,"Cq",25.8095156880442,9999,FALSE
"255",28.5,16,"Cq",24.1616581389243,45,FALSE
"256",28.6,18,"Cq",25.3079150524217,45,FALSE
"257",29.1,1,"Cq",24.2455652392519,45,FALSE
"258",29.2,4,"Cq",9999,45,FALSE
"259",29.2,5,"Cq",21.6027603181027,9999,FALSE
"260",29.3,10,"Cq",9999,45,FALSE
"261",29.3,11,"Cq",23.4373639473608,9999,FALSE
"262",29.4,13,"Cq",9999,45,FALSE
"263",29.4,14,"Cq",26.0112651807349,9999,FALSE
"264",29.5,16,"Cq",25.9547643608801,45,FALSE
"265",29.6,18,"Cq",28.7255329411526,45,FALSE
"266",30.1,1,"Cq",45,45,FALSE
"267",30.2,4,"Cq",9999,45,FALSE
"268",30.2,5,"Cq",45,9999,FALSE
"269",30.3,10,"Cq",9999,45,FALSE
"270",30.3,11,"Cq",45,9999,FALSE
"271",30.4,13,"Cq",9999,45,FALSE
"272",30.4,14,"Cq",45,9999,FALSE
"273",30.5,16,"Cq",45,45,FALSE
"274",30.6,18,"Cq",45,45,FALSE
"275",31.1,1,"Cq",45,45,FALSE
"276",31.2,4,"Cq",9999,45,FALSE
"277",31.2,5,"Cq",45,9999,FALSE
"278",31.3,10,"Cq",9999,45,FALSE
"279",31.3,11,"Cq",45,9999,FALSE
"280",31.4,13,"Cq",9999,45,FALSE
"281",31.4,14,"Cq",43.8316244038288,9999,FALSE
"282",31.5,16,"Cq",45,45,FALSE
"283",31.6,18,"Cq",45,45,FALSE
"284",32.1,1,"Cq",45,45,FALSE
"285",32.2,4,"Cq",9999,45,FALSE
"286",32.2,5,"Cq",45,9999,FALSE
"287",32.3,10,"Cq",9999,45,FALSE
"288",32.3,11,"Cq",45,9999,FALSE
"289",32.4,13,"Cq",9999,45,FALSE
"290",32.4,14,"Cq",45,9999,FALSE
"291",32.5,16,"Cq",45,45,FALSE
"292",32.6,18,"Cq",45,45,FALSE
"293",33.1,3,"Cq",30.6712254966198,30.1783386455946,TRUE
"294",33.2,4,"Cq",9999,29.3349386271749,FALSE
"295",33.2,5,"Cq",28.9411367216727,9999,FALSE
"296",33.3,10,"Cq",9999,27.2274650281319,FALSE
