"","Sample","plate","lyta","piab","pos"
"589",74.4,13,NA,45,FALSE
"590",74.4,15,45,45,FALSE
"591",74.5,17,37.5143690846193,45,FALSE
"592",74.6,19,38.2541024970001,45,FALSE
"593",75.1,2,21.1652831298916,45,FALSE
"594",75.2,6,NA,45,FALSE
"595",75.2,7,23.06153883,NA,NA
"596",75.3,13,26.8422486276714,45,FALSE
"597",75.4,15,45,45,FALSE
"598",75.5,17,27.3134398310376,45,FALSE
"599",75.6,19,27.1553687248027,45,FALSE
"600",76.1,2,28.6818430905257,45,FALSE
"601",76.2,6,NA,45,FALSE
"602",76.2,7,31.3541825,NA,NA
"603",76.3,13,37.1662262731377,45,FALSE
"604",76.4,15,33.68267427714,45,FALSE
"605",76.5,17,33.8209608824963,45,FALSE
"606",76.6,19,35.0968188473657,45,FALSE
"607",77.1,2,45,45,FALSE
"608",77.2,6,NA,45,FALSE
"609",77.2,7,45,NA,FALSE
"610",77.3,13,45,38.2174011412926,FALSE
"611",77.4,15,45,45,FALSE
"612",77.5,17,45,45,FALSE
"613",77.6,19,45,45,FALSE
"614",78.1,2,45,45,FALSE
"615",78.2,6,NA,38.7699715583047,NA
"616",78.2,7,45,NA,FALSE
"617",78.3,13,45,45,FALSE
"618",78.4,15,45,45,FALSE
"619",78.5,17,45,45,FALSE
"620",78.6,19,45,45,FALSE
"621",79.1,2,20.8174668336491,45,FALSE
"622",79.2,6,NA,45,FALSE
"623",79.2,7,24.71436389,NA,NA
"624",79.3,13,25.7941220541551,32.454004445647,TRUE
"625",79.4,15,23.525918120754,45,FALSE
"626",79.5,17,23.9370535070123,45,FALSE
"627",79.6,19,24.7081726562772,45,FALSE
"628",80.1,2,45,45,FALSE
"629",80.2,6,NA,45,FALSE
"630",80.2,7,45,NA,FALSE
"631",80.3,13,45,45,FALSE
"632",80.4,15,45,45,FALSE
"633",80.5,17,45,45,FALSE
"634",80.6,19,45,45,FALSE
"635",81.1,2,45,45,FALSE
"636",81.2,6,NA,45,FALSE
"637",81.2,7,45,NA,FALSE
"638",81.3,13,45,45,FALSE
"639",81.4,15,45,45,FALSE
"640",81.5,17,45,45,FALSE
"641",81.6,19,45,45,FALSE
"642",82.1,2,45,45,FALSE
"643",82.2,6,NA,45,FALSE
"644",82.2,7,45,NA,FALSE
"645",82.3,13,45,45,FALSE
"646",82.4,15,45,45,FALSE
"647",82.5,17,45,45,FALSE
"648",82.6,19,45,45,FALSE
"649",83.1,2,45,45,FALSE
"650",83.2,6,NA,45,FALSE
"651",83.2,7,45,NA,FALSE
"652",83.3,13,45,45,FALSE
"653",83.4,15,45,45,FALSE
"654",83.5,17,45,45,FALSE
"655",83.6,19,45,45,FALSE
"656",84.1,2,43.924573695327,45,FALSE
"657",84.2,6,NA,45,FALSE
"658",84.2,7,45,NA,FALSE
